Date,Open,High,Low,Close,Volume,Market.Cap,Coin
2013-04-28,135.3,135.98000000000002,132.1,134.20999999999998,NA,150052e4,Bitcoin
2013-04-29,134.44,147.49,134,144.54,NA,149116e4,Bitcoin
2013-04-30,144,146.93,134.05,139,NA,159778e4,Bitcoin
2013-05-01,139,139.89000000000001,107.72,116.99000000000001,NA,154282e4,Bitcoin
2013-05-02,116.38,125.6,92.28,105.21000000000001,NA,129219e4,Bitcoin
2013-05-03,106.25,108.13,79.1,97.75,NA,118007e4,Bitcoin
2013-05-04,98.1,115,92.5,112.5,NA,108989e4,Bitcoin
2013-05-05,112.9,118.8,107.14,115.91000000000001,NA,125476e4,Bitcoin
2013-05-06,115.98,124.66,106.64,112.3,NA,128947e4,Bitcoin
2013-05-07,112.25,113.44000000000001,97.7,111.5,NA,124847e4,Bitcoin
2013-05-08,109.6,115.78,109.6,113.57,NA,121945e4,Bitcoin
2013-05-09,113.2,113.46000000000001,109.26,112.66999999999999,NA,125998e4,Bitcoin
2013-05-10,112.8,122,111.55,117.2,NA,125597e4,Bitcoin
2013-05-11,117.7,118.67999999999999,113.01,115.24000000000001,NA,131105e4,Bitcoin
2013-05-12,115.64,117.45,113.44000000000001,115,NA,128863e4,Bitcoin
2013-05-13,114.82,118.7,114.5,117.98,NA,127998e4,Bitcoin
2013-05-14,117.98,119.8,110.25,111.5,NA,131572e4,Bitcoin
2013-05-15,111.4,115.81,103.5,114.22,NA,124276e4,Bitcoin
2013-05-16,114.22,118.76,112.2,118.76,NA,127462e4,Bitcoin
2013-05-17,118.21000000000001,125.3,116.57,123.02,NA,131959e4,Bitcoin
2013-05-18,123.5,125.25,122.3,123.5,NA,137914e4,Bitcoin
2013-05-19,123.21000000000001,124.5,119.57,121.99000000000001,NA,137637e4,Bitcoin
2013-05-20,122.5,123.61999999999999,120.11999999999999,122,NA,136891e4,Bitcoin
2013-05-21,122.02,123,121.21000000000001,122.88,NA,136394e4,Bitcoin
2013-05-22,122.89,124,122,123.89,NA,137413e4,Bitcoin
2013-05-23,123.8,126.93,123.1,126.7,NA,138478e4,Bitcoin
2013-05-24,126.3,133.85000000000002,125.72,133.2,NA,14133e5,Bitcoin
2013-05-25,133.1,133.22,128.9,131.98000000000002,NA,148995e4,Bitcoin
2013-05-26,131.99,136,130.62,133.48000000000002,NA,147803e4,Bitcoin
2013-05-27,133.5,135.47,124.7,129.75,NA,149552e4,Bitcoin
2013-05-28,129.76999999999998,130.58,125.6,129,NA,145431e4,Bitcoin
2013-05-29,129,132.59,127.66,132.3,NA,144619e4,Bitcoin
2013-05-30,132.25,132.25,127,128.8,NA,148318e4,Bitcoin
2013-05-31,128.8,129.9,126.4,129,NA,144505e4,Bitcoin
2013-06-01,128.81,129.78,127.2,129.3,NA,14458e5,Bitcoin
2013-06-02,129.3,129.4,115.05,122.29,NA,145193e4,Bitcoin
2013-06-03,122.5,122.5,116,122.22,NA,137618e4,Bitcoin
2013-06-04,120.74000000000001,123.84,119.1,121.42,NA,135702e4,Bitcoin
