Date,Open,High,Low,Close,Volume,Market.Cap,Coin
2017-01-01,963.66,1003.08,958.7,998.3299999999999,147775e3,154912e5,Bitcoin
2017-01-02,998.62,1031.3899999999999,996.7,1021.75,222185e3,160551e5,Bitcoin
2017-01-03,1021.6,1044.08,1021.6,1043.84,185168e3,164266e5,Bitcoin
2017-01-04,1044.4,1159.42,1044.4,1154.73,344946e3,167954e5,Bitcoin
2017-01-05,1156.73,1191.1,910.42,1013.38,510199e3,18604e6,Bitcoin
2017-01-06,1014.24,1046.81,883.9399999999999,902.2,351876e3,163141e5,Bitcoin
2017-01-07,903.49,908.59,823.56,908.59,27955e4,145344e5,Bitcoin
2017-01-08,908.1700000000001,942.72,887.25,911.2,158715e3,146114e5,Bitcoin
2017-01-09,913.24,913.69,879.81,902.8299999999999,141877e3,146949e5,Bitcoin
2017-01-10,902.4399999999999,914.87,901.06,907.6800000000001,115808e3,145226e5,Bitcoin
2017-01-11,908.12,919.4499999999999,762.76,777.76,310929e3,146157e5,Bitcoin
2017-01-12,775.1800000000001,826.25,755.76,804.8299999999999,222326e3,124776e5,Bitcoin
2017-01-13,803.74,829,780,823.98,168968e3,129391e5,Bitcoin
2017-01-14,825.14,835.09,812.4599999999999,818.41,93063300,132852e5,Bitcoin
2017-01-15,818.14,823.31,812.87,821.8,71013600,131743e5,Bitcoin
2017-01-16,821.7800000000001,834.53,820.2700000000001,831.53,82755200,132346e5,Bitcoin
2017-01-17,830.9499999999999,910.56,830.8,907.9399999999999,155095e3,133839e5,Bitcoin
2017-01-18,909.37,917.5,858.3,886.62,225677e3,146489e5,Bitcoin
2017-01-19,888.3399999999999,904.61,884.3399999999999,899.07,105625e3,143117e5,Bitcoin
2017-01-20,898.1700000000001,899.4,887.01,895.03,86728400,144721e5,Bitcoin
2017-01-21,895.55,927.37,895.53,921.7900000000001,111158e3,14432e6,Bitcoin
2017-01-22,922.21,937.52,897.56,924.6700000000001,116573e3,148636e5,Bitcoin
2017-01-23,925.5,928.2700000000001,916.74,921.01,73588600,149188e5,Bitcoin
2017-01-24,910.6800000000001,924.14,892.2900000000001,892.69,111349e3,146814e5,Bitcoin
2017-01-25,891.92,903.25,891.69,901.54,120831e3,143807e5,Bitcoin
2017-01-26,902.39,919.3299999999999,902.22,917.59,131958e3,145512e5,Bitcoin
2017-01-27,918.3599999999999,923.22,915.8499999999999,919.75,125594e3,148104e5,Bitcoin
2017-01-28,919.81,923.91,919.81,921.59,68979600,148358e5,Bitcoin
2017-01-29,922.07,923.42,919.15,919.5,60851700,14874e6,Bitcoin
2017-01-30,920.15,923.05,919.47,920.38,78227300,148449e5,Bitcoin
2017-01-31,920.9599999999999,972.02,920.9599999999999,970.4,164582e3,148597e5,Bitcoin
2017-02-01,970.9399999999999,989.11,970.74,989.02,15011e4,156679e5,Bitcoin
2017-02-02,990,1013.52,983.22,1011.8,145821e3,159778e5,Bitcoin
2017-02-03,1011.4599999999999,1033.87,1008.7900000000001,1029.91,201278e3,163261e5,Bitcoin
2017-02-04,1031.33,1045.9,1015.16,1042.9,155064e3,166488e5,Bitcoin
2017-02-05,1043.52,1043.6299999999999,1022.37,1027.34,114208e3,168474e5,Bitcoin
2017-02-06,1028.4,1044.6399999999999,1028.1599999999999,1038.1499999999999,111762e3,166054e5,Bitcoin
2017-02-07,1040.1399999999999,1061.93,1040.1399999999999,1061.35,146007e3,167966e5,Bitcoin
2017-02-08,1062.32,1078.97,1037.49,1063.07,201855e3,171567e5,Bitcoin
2017-02-09,1064.7,1088.99,953.3399999999999,994.38,40722e4,171971e5,Bitcoin
2017-02-10,995.63,998.9,946.69,988.6700000000001,190452e3,160836e5,Bitcoin
2017-02-11,988.9,1009.2900000000001,982.8299999999999,1004.4499999999999,102261e3,159767e5,Bitcoin
2017-02-12,1003.52,1004.76,996.92,999.1800000000001,6753e4,162147e5,Bitcoin
2017-02-13,998.88,1002.1,976,990.64,100607e3,161415e5,Bitcoin
2017-02-14,991.74,1011.51,986.47,1004.55,137946e3,16028e6,Bitcoin
2017-02-15,1006.21,1008.8399999999999,1001.58,1007.48,89759400,162641e5,Bitcoin
2017-02-16,1007.65,1033.37,1007.65,1027.44,122277e3,162891e5,Bitcoin
2017-02-17,1026.12,1053.1699999999998,1025.6399999999999,1046.21,136474e3,165896e5,Bitcoin
2017-02-18,1049.21,1061.1,1046.96,1054.42,99073500,169648e5,Bitcoin
2017-02-19,1054.76,1056.81,1043.46,1047.87,77423300,170566e5,Bitcoin
2017-02-20,1048.6899999999998,1080.49,1041.6899999999998,1079.98,109478e3,169602e5,Bitcoin
2017-02-21,1079.28,1117.25,1076.93,1115.3,186869e3,174569e5,Bitcoin
2017-02-22,1114.8,1125.3899999999999,1100.55,1117.44,1361e5,180334e5,Bitcoin
2017-02-23,1117.27,1176.62,1116.96,1166.72,189454e3,180752e5,Bitcoin
2017-02-24,1172.71,1200.3899999999999,1131.96,1173.6799999999998,330759e3,189744e5,Bitcoin
2017-02-25,1170.41,1174.85,1124.59,1143.84,139961e3,189395e5,Bitcoin
2017-02-26,1144.27,1167.47,1130.2,1165.2,116486e3,185189e5,Bitcoin
2017-02-27,1163.78,1181.98,1163.3799999999999,1179.97,13157e4,188373e5,Bitcoin
2017-02-28,1180.72,1193.25,1171.82,1179.97,184956e3,191136e5,Bitcoin
2017-03-01,1180.04,1222.5,1179.6899999999998,1222.5,229057e3,191048e5,Bitcoin
2017-03-02,1224.6799999999998,1262.1299999999999,1215.62,1251.01,368275e3,198298e5,Bitcoin
2017-03-03,1250.71,1280.31,1250.71,1274.99,315739e3,202537e5,Bitcoin
2017-03-04,1277.43,1279.4,1230.51,1255.1499999999999,18327e4,206888e5,Bitcoin
2017-03-05,1254.29,1267.29,1238.06,1267.12,134127e3,20316e6,Bitcoin
2017-03-06,1267.47,1276,1264.6,1272.83,153657e3,205319e5,Bitcoin
2017-03-07,1273.21,1275.55,1204.8,1223.54,291256e3,206271e5,Bitcoin
2017-03-08,1223.23,1232.1599999999999,1148.08,1150,332603e3,198198e5,Bitcoin
2017-03-09,1150.35,1197.46,1141.23,1188.49,212283e3,186409e5,Bitcoin
2017-03-10,1189.36,1270.47,1077.25,1116.72,563796e3,192753e5,Bitcoin
2017-03-11,1116.32,1193.83,1116.32,1175.83,28332e4,180937e5,Bitcoin
2017-03-12,1176.62,1226.98,1175.36,1221.3799999999999,227176e3,190733e5,Bitcoin
2017-03-13,1221.78,1237.37,1217.03,1231.92,380277e3,198077e5,Bitcoin
2017-03-14,1232.1599999999999,1244.81,1220.72,1240,245306e3,199782e5,Bitcoin
2017-03-15,1240.1599999999999,1251.61,1239.75,1249.61,297805e3,201104e5,Bitcoin
2017-03-16,1251.33,1257.98,1152.44,1187.81,638568e3,202937e5,Bitcoin
2017-03-17,1180.1599999999999,1180.1599999999999,1099.57,1100.23,706599e3,191418e5,Bitcoin
2017-03-18,1099.6899999999998,1114.07,957.65,973.8199999999999,621302e3,178387e5,Bitcoin
2017-03-19,976.73,1069.91,976.73,1036.74,406648e3,15846e6,Bitcoin
2017-03-20,1037.24,1063.03,1036.6799999999998,1054.23,28653e4,168298e5,Bitcoin
2017-03-21,1055.36,1122.43,1055.36,1120.54,337391e3,171256e5,Bitcoin
2017-03-22,1120.6499999999999,1120.6499999999999,1014.21,1049.1399999999999,380841e3,181871e5,Bitcoin
2017-03-23,1050.05,1058.01,1028.93,1038.59,24854e4,170434e5,Bitcoin
2017-03-24,1038.45,1040.47,934.3599999999999,937.52,491038e3,16857e6,Bitcoin
2017-03-25,936.54,975.76,903.71,972.7800000000001,435803e3,152048e5,Bitcoin
2017-03-26,974.01,1007.9599999999999,954.19,966.73,303668e3,158148e5,Bitcoin
2017-03-27,972.05,1046.4,971.98,1045.77,372535e3,15785e6,Bitcoin
2017-03-28,1044.58,1064.6499999999999,1027.73,1047.1499999999999,326332e3,169645e5,Bitcoin
2017-03-29,1046.08,1055.1299999999999,1015.88,1039.97,298458e3,169909e5,Bitcoin
2017-03-30,1042.21,1049.29,1020.04,1026.43,352969e3,169298e5,Bitcoin
2017-03-31,1026.6399999999999,1074.92,1026.6399999999999,1071.79,447287e3,16679e6,Bitcoin
2017-04-01,1071.71,1091.72,1061.09,1080.5,289634e3,17413e6,Bitcoin
2017-04-02,1080.61,1107.59,1075.45,1102.1699999999998,514187e3,175594e5,Bitcoin
2017-04-03,1102.95,1151.74,1102.95,1143.81,580444e3,179246e5,Bitcoin
2017-04-04,1145.52,1156.44,1120.52,1133.25,43631e4,18619e6,Bitcoin
2017-04-05,1134.1399999999999,1135.09,1113.6299999999999,1124.78,414784e3,184357e5,Bitcoin
2017-04-06,1125.81,1188.37,1125.81,1182.6799999999998,511222e3,183026e5,Bitcoin
2017-04-07,1178.94,1186.58,1163.3899999999999,1176.9,317022e3,191685e5,Bitcoin
2017-04-08,1172.6499999999999,1184.98,1162.58,1175.95,209312e3,190686e5,Bitcoin
2017-04-09,1176.57,1197.21,1171.86,1187.87,242343e3,191344e5,Bitcoin
2017-04-10,1187.3,1190.34,1179.04,1187.1299999999999,215883e3,193112e5,Bitcoin
2017-04-11,1187.46,1208.07,1187.46,1205.01,216182e3,19316e6,Bitcoin
2017-04-12,1204.81,1207.1399999999999,1196.76,1200.37,288702e3,196008e5,Bitcoin
2017-04-13,1201.02,1205.8899999999999,1156.44,1169.28,351969e3,195413e5,Bitcoin
2017-04-14,1170.33,1190.8,1159.79,1167.54,254827e3,190438e5,Bitcoin
2017-04-15,1167.3,1188,1164.96,1172.52,203559e3,189965e5,Bitcoin
2017-04-16,1172.61,1187.22,1172.61,1182.94,183231e3,190851e5,Bitcoin
2017-04-17,1183.25,1194.9,1172.6499999999999,1193.91,253206e3,192605e5,Bitcoin
2017-04-18,1193.77,1217.57,1193.77,1211.6699999999998,270524e3,194338e5,Bitcoin
2017-04-19,1212.1299999999999,1215.51,1205.08,1210.29,288061e3,197348e5,Bitcoin
2017-04-20,1211.08,1240.79,1208.41,1229.08,315108e3,197199e5,Bitcoin
