Date,Open,High,Low,Close,Volume,Market.Cap,Coin
2013-04-28,135.3,135.98000000000002,132.1,134.20999999999998,NA,150052e4,Bitcoin
2013-04-28,4.3,4.4,4.18,4.35,NA,73773400,Litecoin
2013-04-29,134.44,147.49,134,144.54,NA,149116e4,Bitcoin
2013-04-29,4.37,4.57,4.23,4.38,NA,74952700,Litecoin
2013-04-30,144,146.93,134.05,139,NA,159778e4,Bitcoin
2013-04-30,4.4,4.57,4.17,4.3,NA,75726800,Litecoin
2013-05-01,139,139.89000000000001,107.72,116.99000000000001,NA,154282e4,Bitcoin
2013-05-01,4.29,4.359999999999999,3.52,3.8,NA,73901200,Litecoin
2013-05-02,116.38,125.6,92.28,105.21000000000001,NA,129219e4,Bitcoin
2013-05-02,3.7800000000000002,4.04,3.01,3.3699999999999997,NA,65242700,Litecoin
2013-05-03,106.25,108.13,79.1,97.75,NA,118007e4,Bitcoin
2013-05-03,3.3899999999999997,3.4499999999999997,2.4,3.04,NA,58607400,Litecoin
2013-05-04,98.1,115,92.5,112.5,NA,108989e4,Bitcoin
2013-05-04,3.03,3.64,2.9,3.48,NA,52476400,Litecoin
2013-05-05,112.9,118.8,107.14,115.91000000000001,NA,125476e4,Bitcoin
2013-05-05,3.4899999999999998,3.69,3.3499999999999996,3.59,NA,60525e3,Litecoin
2013-05-06,115.98,124.66,106.64,112.3,NA,128947e4,Bitcoin
2013-05-06,3.59,3.7800000000000002,3.12,3.3699999999999997,NA,62356e3,Litecoin
2013-05-07,112.25,113.44000000000001,97.7,111.5,NA,124847e4,Bitcoin
2013-05-07,3.3699999999999997,3.4099999999999997,2.94,3.3299999999999996,NA,58588300,Litecoin
2013-05-08,109.6,115.78,109.6,113.57,NA,121945e4,Bitcoin
2013-05-08,3.2800000000000002,3.4899999999999998,3.2800000000000002,3.4099999999999997,NA,57196300,Litecoin
2013-05-09,113.2,113.46000000000001,109.26,112.66999999999999,NA,125998e4,Bitcoin
2013-05-09,3.4,3.44,3.29,3.42,NA,59337100,Litecoin
2013-05-10,112.8,122,111.55,117.2,NA,125597e4,Bitcoin
2013-05-10,3.4099999999999997,3.63,3.3699999999999997,3.44,NA,59588e3,Litecoin
2013-05-11,117.7,118.67999999999999,113.01,115.24000000000001,NA,131105e4,Bitcoin
2013-05-11,3.46,3.48,3.3,3.3499999999999996,NA,60658e3,Litecoin
2013-05-12,115.64,117.45,113.44000000000001,115,NA,128863e4,Bitcoin
2013-05-12,3.36,3.42,3.22,3.27,NA,59052900,Litecoin
2013-05-13,114.82,118.7,114.5,117.98,NA,127998e4,Bitcoin
2013-05-13,3.2600000000000002,3.3699999999999997,3.2,3.2800000000000002,NA,57363200,Litecoin
2013-05-14,117.98,119.8,110.25,111.5,NA,131572e4,Bitcoin
2013-05-14,3.2800000000000002,3.3299999999999996,2.7800000000000002,2.82,NA,57812e3,Litecoin
2013-05-15,111.4,115.81,103.5,114.22,NA,124276e4,Bitcoin
2013-05-15,2.82,3.04,2.64,2.94,NA,49842500,Litecoin
2013-05-16,114.22,118.76,112.2,118.76,NA,127462e4,Bitcoin
2013-05-16,2.9299999999999997,2.9699999999999998,2.69,2.92,NA,51790900,Litecoin
2013-05-17,118.21000000000001,125.3,116.57,123.02,NA,131959e4,Bitcoin
2013-05-17,2.8899999999999997,3.34,2.8699999999999997,3.19,NA,51195900,Litecoin
2013-05-18,123.5,125.25,122.3,123.5,NA,137914e4,Bitcoin
2013-05-18,3.2,3.36,3.13,3.29,NA,56721100,Litecoin
2013-05-19,123.21000000000001,124.5,119.57,121.99000000000001,NA,137637e4,Bitcoin
2013-05-19,3.3,3.4099999999999997,3.19,3.3,NA,58645400,Litecoin
2013-05-20,122.5,123.61999999999999,120.11999999999999,122,NA,136891e4,Bitcoin
2013-05-20,3.3099999999999996,3.32,3.15,3.18,NA,58962900,Litecoin
2013-05-21,122.02,123,121.21000000000001,122.88,NA,136394e4,Bitcoin
2013-05-21,3.19,3.22,3.04,3.09,NA,56887600,Litecoin
2013-05-22,122.89,124,122,123.89,NA,137413e4,Bitcoin
2013-05-22,3.09,3.14,3.03,3.12,NA,55165300,Litecoin
2013-05-23,123.8,126.93,123.1,126.7,NA,138478e4,Bitcoin
2013-05-23,3.12,3.19,3.09,3.18,NA,55727e3,Litecoin
2013-05-24,126.3,133.85000000000002,125.72,133.2,NA,14133e5,Bitcoin
2013-05-24,3.17,3.19,3.04,3.18,NA,56747200,Litecoin
2013-05-25,133.1,133.22,128.9,131.98000000000002,NA,148995e4,Bitcoin
2013-05-25,3.19,3.2,3.05,3.12,NA,57165800,Litecoin
2013-05-26,131.99,136,130.62,133.48000000000002,NA,147803e4,Bitcoin
